id,title,body,category,priority
1,Lentezza anomala della postazione,"Ho notato un leggero calo di prestazioni del PC nelle ultime settimane. Power BI in particolare impiega qualche secondo in più per aprirsi. Per ora non è un problema ma potrebbe peggiorare. Il reparto risorse umane ha segnalato lo stesso problema. Se servono dettagli aggiuntivi, sono reperibile via email.",Tecnico,bassa
2,Nota di credito #PED-8821 non ricevuta,Chiedo aggiornamenti sulla nota di credito relativa a #2024-0871. Nessuna premura ma vorrei tenere allineata la documentazione contabile. Chiedo gentilmente di essere aggiornato sullo stato della pratica.,Amministrazione,bassa
3,Impossibile connettersi alla VPN,"La VPN si disconnette frequentemente, circa ogni mezz'ora. Riesco a riconnettermi ma perdo il lavoro non salvato e le videochiamate si interrompono. Ho provato a aggiornare il driver senza miglioramenti. Anche MegaStore Italia ci ha contattato per un disservizio simile. Vorrei una risoluzione entro la settimana se possibile.",Tecnico,media
4,Blocco emissione documenti dal software gestionale,Da un paio di giorni il portale HR impiega tempi molto lunghi per generare i documenti. Riesco a completare il lavoro ma con rallentamenti evidenti. L'errore 'Credenziali non valide' compare saltuariamente. Anche Rossi S.r.l. ci ha contattato per un disservizio simile. Resto a disposizione per chiarimenti.,Tecnico,media
5,Preventivo per server rack richiesto da il fornitore Bianchi,Vorremmo preparare un preventivo per switch di rete richiesto da il fornitore Bianchi. Non c'è una scadenza stringente ma il cliente è in fase di valutazione e una risposta rapida ci avvantaggerebbe. Il reparto contabilità ha confermato la disponibilità tecnica. Resto a disposizione per chiarimenti.,Commerciale,media
6,Accesso negato al portale HR: reset fallito,"La password del applicativo interno è scaduta. Il sistema di reset invia l'email ma il link risulta non valido. Un collega mi sta passando i dati urgenti ma non è una soluzione sostenibile. La situazione sta creando ritardi sugli ordini in lavorazione. La situazione è gestibile ma andrebbe risolta nei prossimi giorni. Rimango in attesa, grazie.",Tecnico,media
7,Registrazione contabile dell'ordine #FT-4471,"Per allineare i nostri archivi, segnalo che l'ordine #ORD-2287 non ha ancora la corrispondente registrazione contabile. Non è prioritario ma conviene sistemare. Allego la documentazione a supporto della richiesta. Non è prioritario, quando avete tempo. Vi ringrazio anticipatamente.",Amministrazione,bassa
8,Scadenza imminente del contratto #2024-0654,"Il contratto #ORD-1145 è in scadenza tra circa un mese. Chiedo di avviare la procedura di rinnovo per evitare interruzioni del servizio. Non è imminente ma i tempi burocratici possono essere lunghi. Il CRM registra correttamente il dato, il problema è nel contenuto. Riesco a procedere ma con difficoltà, andrebbe risolto a breve. Cordiali saluti.",Amministrazione,media
9,Scadenza imminente del contratto #2024-1093,"Il contratto #FT-4471 è in scadenza tra circa un mese. Chiedo di avviare la procedura di rinnovo per evitare interruzioni del servizio. Non è imminente ma i tempi burocratici possono essere lunghi. GreenTech S.p.A. ha fatto presente la stessa discrepanza. Non è trascurabile, programmate un intervento. Se servono dettagli aggiuntivi, sono reperibile via email.",Amministrazione,media
10,Rettifica informazioni anagrafiche,"Segnalo che il mio numero di telefono nel sistema aziendale non è aggiornato. Non crea problemi operativi ma vorrei correggerlo per uniformità. La questione è legata a obblighi normativi in scadenza. Quando avete modo di verificare, con calma. Potete contattarmi al mio interno per approfondire.",Amministrazione,bassa
11,Scheda tecnica monitor 27 pollici richiesta,"Per completare il nostro catalogo interno, avrei bisogno delle schede tecniche aggiornate di server rack. Non ci sono richieste attive da parte dei clienti. Il reparto assistenza clienti ha confermato la disponibilità tecnica. Lo segnalo per completezza, non è nulla di importante. Resto a disposizione per chiarimenti.",Commerciale,bassa
12,Disponibilità scanner documentali per ordine urgente,"Sto raccogliendo informazioni per la pianificazione del prossimo trimestre. Potreste indicarmi le giacenze attuali di monitor 27 pollici? Se servono dettagli aggiuntivi, sono reperibile via email.",Commerciale,bassa
13,Richiesta listino aggiornato per il distributore regionale,"Per il mio archivio commerciale, potrei avere la versione aggiornata del listino prezzi di tablet aziendali? Non ci sono trattative in corso che lo richiedano. La documentazione contrattuale è stata inviata al cliente. Nessuna premura, è solo una segnalazione. Vi ringrazio anticipatamente.",Commerciale,bassa
14,Reclamo per merce danneggiata da GreenTech S.p.A.,Un articolo minore dell'ordine #PED-8821 è arrivato con un'ammaccatura superficiale. Il cliente il fornitore Bianchi non ha chiesto sostituzione ma preferisco annotare l'accaduto.,Commerciale,bassa
15,Anagrafica fornitori da aggiornare,"Diversi dati anagrafici dei fornitori nel piattaforma documentale non sono aggiornati: indirizzi, PEC, codici fiscali. Questo crea problemi nella generazione automatica dei documenti. Chiedo un ciclo di aggiornamento. Il CRM registra correttamente il dato, il problema è nel contenuto. Cordiali saluti.",Amministrazione,media
16,Errore contabile nel gestionale,"Il gestionale calcola importi errati nei calcoli. Riesco a procedere ma con difficoltà, andrebbe risolto a breve.",Tecnico,media
17,Revoca ordine #ORD-1145,il distributore regionale sta valutando se confermare o annullare l'ordine #ORD-1145. Per ora è solo un'ipotesi. Vorrei sapere quali sarebbero le condizioni di annullamento nel caso. Resto in attesa di aggiornamenti.,Commerciale,bassa
18,Scadenza imminente del contratto #ORD-1145,"Il contratto #2024-1093 è in scadenza tra circa un mese. Chiedo di avviare la procedura di rinnovo per evitare interruzioni del servizio. Non è imminente ma i tempi burocratici possono essere lunghi. Il problema potrebbe avere impatti sulla operatività del reparto. Sta peggiorando, meglio intervenire presto. Un saluto.",Amministrazione,bassa
19,Prestazioni degradate del computer,"Il PC è diventato molto lento: l'avvio richiede circa 10 minuti e passare da un'applicazione all'altra è frustrante. Riesco a lavorare ma la produttività ne risente parecchio. La situazione sta creando ritardi sugli ordini in lavorazione. Il problema è fastidioso, chiedo un controllo.",Tecnico,media
20,Mancata emissione nota di credito #2025-0112,"La nota di credito relativa alla fattura #ORD-1145 doveva essere emessa entro il 22 novembre ma non è ancora arrivata. Senza di essa non posso chiudere il bilancio trimestrale e la scadenza è questa settimana. È un problema critico, urgente. Se servono dettagli aggiuntivi, sono reperibile via email.",Amministrazione,media
21,Documenti mancanti per ordine #FT-3392,Manca la documentazione contabile per l'ordine #2025-0112. La merce è stata spedita ma la fattura non è ancora stata emessa. Chiedo di procedere con la registrazione. In attesa di un vostro riscontro.,Amministrazione,media
22,"Credenziali scadute, impossibile il reset","Mi è arrivato l'avviso che la password del CRM scadrà tra 5 giorni. Ho provato a cambiarla in anticipo ma la procedura dà errore. Non è prioritario ma vorrei risolvere prima della scadenza. Non c'è premura, il lavoro procede normalmente. Rimango in attesa, grazie.",Tecnico,bassa
23,Software contabilità bloccato,"IL SOFTWARE DI CONTABILITÀ NON SI APRE, DÀ ERRORE MEMORIA INSUFFICIENTE. NESSUNA PREMURA, È UNA RICHIESTA INFORMATIVA.",Tecnico,bassa
24,Backup automatico non eseguito,"Segnalo che il report del backup notturno di applicativo interno mostra un avviso di tipo informativo. Il backup risulta completato ma con un tempo superiore alla media. Nessun dato sembra compromesso. Bassa priorità, non crea problemi operativi. Per qualsiasi chiarimento, sono disponibile.",Tecnico,bassa
25,Accesso VPN bloccato da remoto,"La VPN funziona ma la connessione è più lenta del solito, soprattutto accedendo a sistema ERP. Non è un problema grave perché vado in ufficio quasi tutti i giorni, ma nei giorni di smart working è percepibile. È un dettaglio minore, da gestire quando avete un momento libero. Vi ringrazio anticipatamente!!!",Tecnico,bassa
26,Problema con un ordine,"L'ordine #ORD-1145 ha un prblema. Il problema è moderato, riesco a lavorare con qualche disagio.",Tecnico,media
27,Stampante Ricoh SP non funzionante,"La Canon iR stampa solo parzialmente i documenti, tagliando la parte destra di ogni foglio. I contratti risultano illeggibili. Per ora invio i documenti via email ma non è sempre possibile. Ringrazio per la collaborazione.",Tecnico,media
28,Nota di credito per reso,"Il cliente ha restituito la merce, serve la nota di credito.",Amministrazione,media
29,DOCUMENTI MANCANTI PER ORDINE #ORD-1145,"L'ordine #ORD-1145 di l'azienda partner non risulta registrato in contabilità nonostante la merce sia già stata consegnata. Se non registriamo entro fine mese ci saranno problemi con la chiusura del bilancio. Il problema potrebbe avere impatti sulla operatività del reparto. Massima priorità, la situazione è insostenibile.",Amministrazione,alta
30,Email aziendale non sincronizzata,"Ogni tanto qualche email su Zoom arriva con qualche minuto di ritardo rispetto al telefono. Non crea problemi concreti ma volevo segnalarlo per completezza. Allego lo screenshot dell'errore per facilitare la diagnosi. Per qualsiasi chiarimento, sono disponibile.",Tecnico,bassa
31,Documenti mancanti per ordine #2025-0112,"Manca la documentazione contabile per l'ordine #2024-0871. La merce è stata spedita ma la fattura non è ancora stata emessa. Chiedo di procedere con la registrazione. Riesco a procedere ma con difficoltà, andrebbe risolto a breve. Ringrazio per la collaborazione.",Amministrazione,media
